,created_at,hour_created_at,is_charter,airline_code,api_fare,baggage,class,available_seat,flight_date_time
17469,2023-11-15,17,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
17470,2023-11-15,17,0,16,129468000.0,20.0,26,1.0,2023-11-16 04:15:00
17471,2023-11-15,17,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
17476,2023-11-15,17,0,16,184680000.0,0.0,12,1.0,2023-11-16 04:15:00
17477,2023-11-15,17,0,16,192398300.0,0.0,12,1.0,2023-11-16 04:15:00
17478,2023-11-15,17,0,16,192936000.0,20.0,12,1.0,2023-11-16 04:15:00
17479,2023-11-15,17,0,16,200587880.0,20.0,12,1.0,2023-11-16 04:15:00
19483,2023-11-15,17,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
19484,2023-11-15,17,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
19485,2023-11-15,17,0,16,184680000.0,0.0,12,1.0,2023-11-16 04:15:00
19486,2023-11-15,17,0,16,192936000.0,20.0,12,1.0,2023-11-16 04:15:00
21252,2023-11-15,18,0,16,121212000.0,0.0,26,1.0,2023-11-16 04:15:00
21253,2023-11-15,18,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
21254,2023-11-15,18,0,16,129468000.0,20.0,26,1.0,2023-11-16 04:15:00
21255,2023-11-15,18,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
21256,2023-11-15,18,0,16,184680000.0,0.0,12,1.0,2023-11-16 04:15:00
21257,2023-11-15,18,0,16,192398300.0,0.0,12,1.0,2023-11-16 04:15:00
21258,2023-11-15,18,0,16,192936000.0,20.0,12,1.0,2023-11-16 04:15:00
21259,2023-11-15,18,0,16,200587880.0,20.0,12,1.0,2023-11-16 04:15:00
23683,2023-11-15,18,0,16,121212000.0,0.0,26,1.0,2023-11-16 04:15:00
23684,2023-11-15,18,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
23685,2023-11-15,18,0,16,129468000.0,20.0,26,1.0,2023-11-16 04:15:00
23686,2023-11-15,18,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
23687,2023-11-15,18,0,16,192398300.0,0.0,12,1.0,2023-11-16 04:15:00
23688,2023-11-15,18,0,16,200587880.0,20.0,12,1.0,2023-11-16 04:15:00
25516,2023-11-15,19,0,16,85092000.0,0.0,28,1.0,2023-11-16 04:15:00
25517,2023-11-15,19,0,16,88103810.0,0.0,28,1.0,2023-11-16 04:15:00
25518,2023-11-15,19,0,16,93348000.0,20.0,28,1.0,2023-11-16 04:15:00
25519,2023-11-15,19,0,16,96293390.0,20.0,28,1.0,2023-11-16 04:15:00
25520,2023-11-15,19,0,16,121212000.0,0.0,26,1.0,2023-11-16 04:15:00
25521,2023-11-15,19,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
25522,2023-11-15,19,0,16,129468000.0,20.0,26,1.0,2023-11-16 04:15:00
25523,2023-11-15,19,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
27787,2023-11-15,19,0,16,85092000.0,0.0,28,1.0,2023-11-16 04:15:00
27788,2023-11-15,19,0,16,88103810.0,0.0,28,1.0,2023-11-16 04:15:00
27789,2023-11-15,19,0,16,93348000.0,20.0,28,1.0,2023-11-16 04:15:00
27790,2023-11-15,19,0,16,96293390.0,20.0,28,1.0,2023-11-16 04:15:00
29570,2023-11-15,20,0,16,64452000.0,0.0,23,6.0,2023-11-16 04:15:00
29571,2023-11-15,20,0,16,64452000.0,0.0,23,8.0,2023-11-16 04:15:00
29582,2023-11-15,20,0,16,66608290.0,0.0,23,6.0,2023-11-16 04:15:00
29583,2023-11-15,20,0,16,66608290.0,0.0,23,8.0,2023-11-16 04:15:00
29596,2023-11-15,20,0,16,72708000.0,20.0,23,6.0,2023-11-16 04:15:00
29597,2023-11-15,20,0,16,72708000.0,20.0,23,8.0,2023-11-16 04:15:00
29611,2023-11-15,20,0,16,74797870.0,20.0,23,6.0,2023-11-16 04:15:00
29612,2023-11-15,20,0,16,74797870.0,20.0,23,8.0,2023-11-16 04:15:00
33106,2023-11-15,21,0,16,64452000.0,0.0,23,6.0,2023-11-16 04:15:00
33115,2023-11-15,21,0,16,64968000.0,0.0,23,6.0,2023-11-16 04:15:00
33121,2023-11-15,21,0,16,67548460.0,0.0,23,6.0,2023-11-16 04:15:00
33141,2023-11-15,21,0,16,72708000.0,20.0,23,6.0,2023-11-16 04:15:00
33149,2023-11-15,21,0,16,73224000.0,20.0,23,6.0,2023-11-16 04:15:00
33154,2023-11-15,21,0,16,75870130.0,20.0,23,6.0,2023-11-16 04:15:00
34864,2023-11-15,21,0,16,64968000.0,0.0,23,6.0,2023-11-16 04:15:00
34871,2023-11-15,21,0,16,73224000.0,20.0,23,6.0,2023-11-16 04:15:00
36415,2023-11-15,22,0,16,64968000.0,0.0,23,6.0,2023-11-16 04:15:00
36424,2023-11-15,22,0,16,67548460.0,0.0,23,6.0,2023-11-16 04:15:00
36434,2023-11-15,22,0,16,73224000.0,20.0,23,6.0,2023-11-16 04:15:00
36443,2023-11-15,22,0,16,75870130.0,20.0,23,6.0,2023-11-16 04:15:00
37761,2023-11-15,22,0,16,64968000.0,0.0,23,6.0,2023-11-16 04:15:00
37764,2023-11-15,22,0,16,67548460.0,0.0,23,6.0,2023-11-16 04:15:00
37767,2023-11-15,22,0,16,73224000.0,20.0,23,6.0,2023-11-16 04:15:00
37770,2023-11-15,22,0,16,75870130.0,20.0,23,6.0,2023-11-16 04:15:00
39063,2023-11-15,23,0,16,64968000.0,0.0,23,6.0,2023-11-16 04:15:00
39067,2023-11-15,23,0,16,73224000.0,20.0,23,6.0,2023-11-16 04:15:00
2367,2023-11-15,13,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
4338,2023-11-15,13,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
6802,2023-11-15,14,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
8594,2023-11-15,14,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
10833,2023-11-15,15,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
12426,2023-11-15,15,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
14791,2023-11-15,16,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
16600,2023-11-15,16,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
18611,2023-11-15,17,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
20187,2023-11-15,17,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
22640,2023-11-15,18,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
24551,2023-11-15,18,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
26723,2023-11-15,19,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
28565,2023-11-15,19,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
30819,2023-11-15,20,0,5,158260960.0,30.0,12,9.0,2023-11-16 04:30:00
30837,2023-11-15,20,0,5,158273960.0,30.0,12,9.0,2023-11-16 04:30:00
34063,2023-11-15,21,0,5,158273960.0,30.0,12,9.0,2023-11-16 04:30:00
35816,2023-11-15,21,0,5,158273960.0,30.0,12,9.0,2023-11-16 04:30:00
624,2023-11-15,13,0,18,164135970.0,25.0,16,9.0,2023-11-16 05:00:00
656,2023-11-15,13,0,18,165527970.0,25.0,16,9.0,2023-11-16 05:00:00
681,2023-11-15,13,0,18,244160190.0,25.0,16,9.0,2023-11-16 05:00:00
707,2023-11-15,13,0,18,246064580.0,25.0,16,9.0,2023-11-16 05:00:00
729,2023-11-15,13,0,18,450739650.0,35.0,1,6.0,2023-11-16 05:00:00
732,2023-11-15,13,0,18,450739650.0,35.0,1,7.0,2023-11-16 05:00:00
737,2023-11-15,13,0,18,499608375.0,40.0,10,6.0,2023-11-16 05:00:00
3295,2023-11-15,13,0,18,164135970.0,25.0,16,9.0,2023-11-16 05:00:00
3317,2023-11-15,13,0,18,165527970.0,25.0,16,9.0,2023-11-16 05:00:00
3329,2023-11-15,13,0,18,244160190.0,25.0,16,9.0,2023-11-16 05:00:00
3344,2023-11-15,13,0,18,246064580.0,25.0,16,9.0,2023-11-16 05:00:00
3355,2023-11-15,13,0,18,450739650.0,35.0,1,6.0,2023-11-16 05:00:00
3357,2023-11-15,13,0,18,450739650.0,35.0,1,7.0,2023-11-16 05:00:00
3359,2023-11-15,13,0,18,499608375.0,40.0,10,6.0,2023-11-16 05:00:00
5046,2023-11-15,14,0,18,164135970.0,25.0,16,1.0,2023-11-16 05:00:00
5050,2023-11-15,14,0,18,164135970.0,25.0,16,9.0,2023-11-16 05:00:00
5082,2023-11-15,14,0,18,165527970.0,25.0,16,9.0,2023-11-16 05:00:00
5102,2023-11-15,14,0,18,244160190.0,25.0,16,9.0,2023-11-16 05:00:00
5131,2023-11-15,14,0,18,246064580.0,25.0,16,9.0,2023-11-16 05:00:00
